ratio: 内存被购买比例
ram_price: 内存价格，单位：EOS/KB
eos_balance: eosio.ram 账户余额
ram_bought: 被购买的内存数量，单位：字节

ratio	ram_price	eos_balance	ram_bought
95.59%	7.6992	21675734	65688947809
95.58%	7.6418	21624431	65682075862
95.57%	7.6418	21573360	65675203914
95.56%	7.5852	21522519	65668331966
95.55%	7.5294	21471907	65661460019
95.54%	7.5294	21421521	65654588071
95.53%	7.4745	21371361	65647716123
95.52%	7.4745	21321425	65640844176
95.51%	7.4203	21271712	65633972228
95.50%	7.3669	21222219	65627100280
95.49%	7.3669	21172946	65620228333
95.48%	7.3143	21123891	65613356385
95.47%	7.3143	21075052	65606484437
95.46%	7.2624	21026428	65599612490
95.45%	7.2113	20978019	65592740542
95.44%	7.2113	20929821	65585868594
95.43%	7.1608	20881835	65578996647
95.42%	7.1111	20834058	65572124699
95.41%	7.1111	20786489	65565252751
95.40%	7.0621	20739127	65558380804
95.39%	7.0621	20691971	65551508856
95.38%	7.0137	20645018	65544636908
95.37%	6.9660	20598269	65537764960
95.36%	6.9660	20551721	65530893013
95.35%	6.9189	20505373	65524021065
95.34%	6.8725	20459224	65517149117
95.33%	6.8725	20413273	65510277170
95.32%	6.8267	20367518	65503405222
95.31%	6.7815	20321958	65496533274
95.30%	6.7815	20276592	65489661327
95.29%	6.7368	20231419	65482789379
95.28%	6.6928	20186437	65475917431
95.27%	6.6928	20141646	65469045484
95.26%	6.6494	20097043	65462173536
95.25%	6.6494	20052628	65455301588
95.24%	6.6065	20008400	65448429641
95.23%	6.5641	19964357	65441557693
95.22%	6.5641	19920499	65434685745
95.21%	6.5223	19876823	65427813798
95.20%	6.4810	19833330	65420941850
95.19%	6.4810	19790017	65414069902
95.18%	6.4403	19746885	65407197955
95.17%	6.4000	19703930	65400326007
95.16%	6.4000	19661154	65393454059
95.15%	6.3602	19618553	65386582112
95.14%	6.3210	19576128	65379710164
95.13%	6.3210	19533877	65372838216
95.12%	6.2822	19491800	65365966269
95.11%	6.2439	19449894	65359094321
95.10%	6.2439	19408160	65352222373
95.09%	6.2061	19366595	65345350426
95.08%	6.1687	19325200	65338478478
95.07%	6.1687	19283972	65331606530
95.06%	6.1317	19242911	65324734583
95.05%	6.0952	19202017	65317862635
95.04%	6.0952	19161287	65310990687
95.03%	6.0592	19120721	65304118740
95.02%	6.0235	19080318	65297246792
95.01%	5.9883	19040077	65290374844
95.00%	5.9883	18999996	65283502897
94.99%	5.9535	18960076	65276630949
94.98%	5.9191	18920315	65269759001
94.97%	5.9191	18880712	65262887054
94.96%	5.8851	18841266	65256015106
94.95%	5.8514	18801977	65249143158
94.94%	5.8514	18762842	65242271211
94.93%	5.8182	18723862	65235399263
94.92%	5.7853	18685036	65228527315
94.91%	5.7853	18646362	65221655367
94.90%	5.7528	18607840	65214783420
